cuid,prefix,firstName,middleInitial,lastName,fullName
4,,HON,D,ANNABETH CUIZON,HON ANNABETH D. CUIZON
17,,HON,T,EFREN HERRERA,HON EFREN T. HERRERA
27,,HON,A,JAN VINCENT DELA SERNA,HON JAN VINCENT A. DELA SERNA
63,HON.,ADRIANO,C,ORTIZ,HON. ADRIANO C. ORTIZ
2,HON.,ALEXANDER,M,M.,HON. ALEXANDER M.
2,HON.,ALEXANDER,M,COSTOPA,HON. ALEXANDER M. COSTOPA
2,HON.,ALEXANDER,M,ESTOPA,HON. ALEXANDER M. ESTOPA
2,HON.,ALEXANDER,M,GASTOPA,HON. ALEXANDER M. GASTOPA
2,HON.,ALEXANDER,M,GEATOPA,HON. ALEXANDER M. GEATOPA
2,HON.,ALEXANDER,M,GESTAPA,HON. ALEXANDER M. GESTAPA
2,HON.,ALEXANDER,M,GESTEPA,HON. ALEXANDER M. GESTEPA
2,HON.,ALEXANDER,M,GESTGOPA,HON. ALEXANDER M. GESTGOPA
2,HON.,ALEXANDER,M,GESTOPA,HON. ALEXANDER M. GESTOPA
2,HON.,ALEXANDER,M,GESTOPAS,HON. ALEXANDER M. GESTOPAS
2,HON.,ALEXANDER,M,GESTOSA,HON. ALEXANDER M. GESTOSA
2,HON.,ALEXANDER,M,GOSTOPA,HON. ALEXANDER M. GOSTOPA
2,HON.,ALEXANDER,M,GUSTOPA,HON. ALEXANDER M. GUSTOPA
64,HON.,ALLAN,T,HERRERA,HON. ALLAN T. HERRERA
3,HON.,ALLEY,B,BERDIN,HON. ALLEY B. BERDIN
3,HON.,ALLEY,B,BERDIN AND APPROVED IN MASS MOTION,HON. ALLEY B. BERDIN AND APPROVED IN MASS MOTION
3,HON.,ALLEY,B,BERDIN CPA.,HON. ALLEY B. BERDIN CPA.
3,HON.,ALLEY,B,BORDIN,HON. ALLEY B. BORDIN
3,HON.,ALLEY,L,BERDIN,HON. ALLEY L. BERDIN
3,HON.,ALLYN,B,BORDIN,HON. ALLYN B. BORDIN
4,HON.,ANABETH,D,CUZON,HON. ANABETH D. CUZON
4,HON.,ANNABEH,D,CUIZON,HON. ANNABEH D. CUIZON
4,HON.,ANNABEL,D,CUIZON,HON. ANNABEL D. CUIZON
4,HON.,ANNABELTH,D,CUIZON,HON. ANNABELTH D. CUIZON
4,HON.,ANNABETH,D,CUIZON,HON. ANNABETH D. CUIZON
4,HON.,ANNABETH,DA,CUIZON HON CLIMACO TATOY,"HON. ANNABETH D. CUIZON
HON CLIMACO A. TATOY"
4,HON.,ANNABETH,D,CUIZON AND,HON. ANNABETH D. CUIZON AND
5,HON.,ARIANE,D,NEIL MARIE YAP,HON. ARIANE NEIL MARIE D. YAP
6,HON.,CAMILO,F,EYAS,HON. CAMILO F. EYAS
